%time,field.left_wheel,field.right_wheel
1304221330667985916,3.77157878876,3.77157878876
1304221330707505941,3.660810709,3.8199763298
1304221330747828960,3.72491049767,3.72491049767
1304221330787916898,3.77279520035,3.77279520035
1304221330827840089,3.76720380783,3.76720380783
1304221330867860078,3.77022480965,3.77022480965
1304221330907790899,3.78327417374,3.78327417374
1304221330947864055,3.75683236122,3.75683236122
1304221330987819910,3.76878023148,3.76878023148
1304221331027954101,3.76962327957,3.76962327957
1304221331067848920,3.76873469353,3.76873469353
1304221331107498884,3.64901041985,3.64901041985
1304221331147831916,3.73714709282,3.73714709282
1304221331187818050,3.77323293686,3.77323293686
1304221331227878093,3.91755175591,3.76084971428
1304221331267977952,3.92737460136,3.77027964592
1304221331307811975,3.77246665955,3.77246665955
1304221331347881078,3.76665472984,3.92359852791
1304221331387957096,3.77321982384,3.61600232124
1304221331427879095,3.76678276062,3.76678276062
1304221331467824935,3.77693891525,3.77693891525
1304221331507415056,3.81678366661,3.81678366661
1304221331547868967,3.7200858593,3.7200858593
1304221331587847948,3.77119898796,3.77119898796
1304221331627991914,3.60855531693,3.76544904709
1304221331667845964,3.7701113224,3.7701113224
1304221331707768917,3.77675700188,3.77675700188
1304221331747955083,3.76575040817,3.60884428024
1304221331787844896,3.61426901817,3.7714111805
1304221331827595949,3.79368782043,3.79368782043
1304221331867924928,3.74546647072,3.74546647072
1304221331907499074,3.80160832405,3.80160832405
1304221331947860956,3.8927128315,3.73700428009
1304221331987957000,3.77141141891,3.77141141891
1304221332027878999,3.92417573929,3.7672085762
1304221332067837953,3.77357602119,3.77357602119
1304221332107583045,3.64044523239,3.64044523239
1304221332152560949,3.77738833427,3.77738833427
1304221332191715002,3.83195376396,3.83195376396
1304221332231919050,3.76851773262,3.76851773262
1304221332271946907,3.76791191101,3.61091566086
1304221332307367086,3.90192914009,4.07928943634
1304221332347824096,3.71900272369,3.87396121025
1304221332387778997,3.76984596252,3.76984596252
1304221332427885055,3.76367354393,3.92049336433
1304221332467957019,3.92946028709,3.77228188515
1304221332507972002,3.76862740517,3.61160135269
1304221332547815084,3.77475333214,3.77475333214
1304221332587979078,3.92126870155,3.76441788673
1304221332627819061,3.77656626701,3.77656626701
1304221332667781114,3.77495241165,3.77495241165
1304221332707385063,3.81474137306,3.65579366684
1304221332747844934,3.71741867065,3.71741867065
1304221332787815093,3.61310172081,3.77019309998
1304221332827312946,3.82789516449,3.82789516449
1304221332867851972,3.71353316307,3.55880260468
1304221332907700061,3.93735361099,3.77985954285
1304221332948018074,3.75390124321,3.59748888016
1304221332987864017,3.93699598312,3.77951598167
1304221333027546882,3.79267191887,3.79267191887
1304221333067447900,3.94830155373,3.63243746758
1304221333107448101,3.77017426491,3.77017426491
1304221333147448062,3.77059864998,3.77059864998
1304221333187447071,3.61207866669,3.76912546158
1304221333227459907,3.92705893517,3.76997661591
1304221333267399072,3.77027845383,3.61318349838
1304221333307449102,3.76936197281,3.76936197281
1304221333347443103,3.77054572105,3.77054572105
1304221333387341022,3.77339434624,3.77339434624
1304221333427447080,3.76632809639,3.76632809639
1304221333467401027,3.77116441727,3.77116441727
1304221333507437944,3.76912069321,3.76912069321
1304221333547427892,3.77067494392,3.77067494392
1304221333587461948,3.76609873772,3.76609873772
1304221333627384901,3.93077397346,3.61631202698
1304221333667521953,3.76823043823,3.76823043823
1304221333707408905,3.92752289772,3.77042198181
1304221333747437000,3.61346411705,3.77057123184
1304221333787442922,3.76905250549,3.76905250549
1304221333827440023,3.77105116844,3.77105116844
1304221333867438077,3.76921415329,3.76921415329
1304221333907476902,3.61224675179,3.61224675179
1304221333947448015,3.76975417137,3.76975417137
1304221333987375974,3.77436852455,3.77436852455
